question_id,resolution
31040,0
31039,1
31038,0
31037,0
31036,0
31035,1
31034,0
31030,0
30979,1
30978,0
30953,1
30952,1
30951,0
30950,0
30911,1
30910,0
30909,0
30908,1
30907,1
30880,0
30878,0
30877,1
30876,0
30836,0
30835,1
30834,0
30833,1
30832,0
30831,1
30830,1
30829,1
30828,1
30827,1
30826,1
30825,1
30783,1
30782,1
30781,0
30780,1
30779,1
30778,1
30744,1
30743,0
30742,0
30741,1
30740,0
30739,0
30738,0
30737,1
30736,0
30735,0
30681,1
30680,1
30679,0
30678,1
30677,1
30676,0
30675,0
30674,1
30673,1
30672,0
30671,0
30669,0
30625,0
30624,0
30623,1
30622,0
30619,1
30618,1
30617,1
30616,1
30615,1
30580,1
30579,1
30578,1
30577,1
30576,1
30575,0
30544,0
30543,0
30542,1
30541,0
30540,0
30538,0
30537,1
30500,1
30499,0
30498,1
30497,0
30496,0
30495,1
30494,0
30493,1
30492,1
30491,0
30464,1
30463,1
30462,1
30461,1
30460,0
30459,0
30458,1
30457,0
30455,0
30410,0
30409,1
30408,1
30407,0
30406,0
30404,0
30403,0
30364,0
30363,0
30362,1
30361,1
30360,1
30359,1
30358,1
30357,0
30356,0
30328,1
30327,1
30326,1
30325,0
30324,0
30323,0
30322,0
30321,1
30286,0
30285,0
30284,0
30283,0
30282,1
30281,0
30280,0
30279,0
30278,0
30277,0
30276,1
30275,0
30274,0
30203,1
30202,0
30201,1
30200,0
30199,0
30198,0
30197,0
30196,0
30195,0
30194,0
30193,0
30192,1
30190,1
30124,0
30123,0
30122,1
30121,0
30120,0
30119,0
30118,0
30117,1
30116,0
30115,0
30114,1
30113,1
30112,0
30111,0
30110,0
30074,0
30073,1
30072,0
30071,0
30070,0
30069,1
30068,1
30067,0
30066,0
30065,0
30015,0
30014,0
30013,0
30012,0
30011,1
30010,0
30009,1
30008,1
30007,0
30006,1
30005,1
30004,0
30003,0
29947,0
29946,0
29945,1
29944,1
29943,1
29942,0
29941,1
29940,1
29939,0
29937,0
29887,1
29886,0
29885,1
29884,0
29883,1
29882,0
29881,0
29880,0
29879,1
29878,0
29877,0
29876,0
29875,0
29874,1
29873,0
29872,0
29798,0
29797,0
29796,1
29795,1
29794,1
29793,0
29792,0
29791,0
29790,0
29789,1
29788,0
29787,0
29786,0
29785,0
29784,0
29783,0
29707,0
29706,0
29705,1
29704,0
29703,0
29702,0
29701,1
29700,1
29699,0
29698,1
29697,0
29696,1
29695,0
29694,0
29640,0
29639,0
29638,0
29637,1
29635,0
29634,0
29633,1
29632,1
29631,0
29630,0
29600,0
29599,0
29595,1
29594,0
29593,1
29592,0
29591,1
29590,1
29589,1
29588,0
29550,0
29549,0
29548,0
29547,1
29546,0
29545,0
29544,0
29542,1
29541,0
29499,0
29498,1
29497,0
29496,1
29495,0
29493,1
29492,0
29491,1
29490,1
29488,1
29487,1
29486,1
29485,0
29484,0
29433,0
29432,1
29431,1
29430,1
29429,1
29428,0
29427,1
29426,0
29425,1
29424,1
29423,1
29376,0
29375,0
29374,0
29373,1
29372,1
29371,0
29370,0
29369,0
29368,0
29367,0
29366,1
29320,1
29319,0
29318,1
29317,0
29316,0
29315,1
29314,1
29313,1
29312,1
29311,0
29310,0
29309,0
29277,0
29276,0
29275,1
29274,1
29273,0
29272,0
29271,0
29270,0
29269,1
29268,1
29266,0
29265,1
29264,0
29263,1
29262,0
29212,1
29210,1
29209,1
29208,1
29207,0
29206,1
29205,0
29204,0
29203,1
29202,1
29201,1
29170,0
29168,0
29167,0
29165,0
29164,0
29163,0
29162,1
29161,0
29160,0
29159,0
29125,0
29124,0
29123,1
29122,1
29121,0
29120,0
29119,0
29118,0
29117,0
29116,1
29115,0
29114,0
29113,0
29112,0
29111,0
29110,1
29109,0
29074,0
29073,0
29072,0
29071,0
29070,1
29069,0
29068,0
29067,0
29066,0
29065,0
29064,1
29039,0
29038,0
29037,0
29013,1
29012,1
29011,1
29010,0
29009,0
29008,0
29007,0
28999,0
28998,0
28997,0
